110100,北京
120100,天津
130100,石家庄
130200,唐山
130300,秦皇岛
130400,邯郸
130500,邢台
130600,保定
130700,张家口
130800,承德
130900,沧州
131000,廊坊
131100,衡水
140100,太原
140200,大同
140300,阳泉
140400,长治
140500,晋城
140600,朔州
140700,晋中
140800,运城
140900,忻州
141000,临汾
141100,吕梁
150100,呼和浩特
150200,包头
150300,乌海
150400,赤峰
150500,通辽
150600,鄂尔多斯
150700,呼伦贝尔
150800,巴彦淖尔
150900,乌兰察布
152200,兴安盟
152500,锡林郭勒盟
152900,阿拉善盟
210100,沈阳
210200,大连
210300,鞍山
210400,抚顺
210500,本溪
210600,丹东
210700,锦州
210800,营口
210900,阜新
211000,辽阳
211100,盘锦
211200,铁岭
211300,朝阳
211400,葫芦岛
220100,长春
220200,吉林
220300,四平
220400,辽源
220500,通化
220600,白山
220700,松原
220800,白城
222400,延边朝鲜族自治州
230100,哈尔滨
230200,齐齐哈尔
230300,鸡西
230400,鹤岗
230500,双鸭山
230600,大庆
230700,伊春
230800,佳木斯
230900,七台河
231000,牡丹江
231100,黑河
231200,绥化
232700,大兴安岭地区
310100,上海
320100,南京
320200,无锡
320300,徐州
320400,常州
320500,苏州
320600,南通
320700,连云港
320800,淮安
320900,盐城
321000,扬州
321100,镇江
321200,泰州
321300,宿迁
330100,杭州
330200,宁波
330300,温州
330400,嘉兴
330500,湖州
330600,绍兴
330700,金华
330800,衢州
330900,舟山
331000,台州
331100,丽水
340100,合肥
340200,芜湖
340300,蚌埠
340400,淮南
340500,马鞍山
340600,淮北
340700,铜陵
340800,安庆
341000,黄山
341100,滁州
341200,阜阳
341300,宿州
341500,六安
341600,亳州
341700,池州
341800,宣城
350100,福州
350200,厦门
350300,莆田
350400,三明
350500,泉州
350600,漳州
350700,南平
350800,龙岩
350900,宁德
360100,南昌
360200,景德镇
360300,萍乡
360400,九江
360500,新余
360600,鹰潭
360700,赣州
360800,吉安
360900,宜春
361000,抚州
361100,上饶
370100,济南
370200,青岛
370300,淄博
370400,枣庄
370500,东营
370600,烟台
370700,潍坊
370800,济宁
370900,泰安
371000,威海
371100,日照
371200,莱芜
371300,临沂
371400,德州
371500,聊城
371600,滨州
371700,菏泽
410100,郑州
410200,开封
410300,洛阳
410400,平顶山
410500,安阳
410600,鹤壁
410700,新乡
410800,焦作
410900,濮阳
411000,许昌
411100,漯河
411200,三门峡
411300,南阳
411400,商丘
411500,信阳
411600,周口
411700,驻马店
419001,济源市
420100,武汉
420200,黄石
